code,name,duration,credits,tuition_credits,department,prerequisite,english_name,weight
CH5005,Thực tập tốt nghiệp (CN các hợp chất vô cơ),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5006,Thực tập tốt nghiệp (Hoá lý),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5007,Thực tập tốt nghiệp (Quá trình & Thiết bị CNHH),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5008,Thực tập tốt nghiệp (CN giấy & xenluloza),2(0-0-4-8),2,5,THKHSS,CH4442,Graduation Practicum,0.5
CH5009,Thực tập tốt nghiệp (CN Hoá dược),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5010,Thực tập tốt nghiệp (CN Hoá chất bảo vệ thực vật),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5011,Thực tập tốt nghiệp (Máy và thiết bị CN hoá chất),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5012,Thực tập tốt nghiệp (CN in),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5013,Thực tập tốt nghiệp,4(0-0-8-16),4,10,THKHSS,,Graduation Practicum,0.5
CH5080,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,THKHSS,,Graduation Practicum,0.5
CH5090,Đồ án tốt nghiệp,9(0-0-18-18),9,22.5,THKHSS,,Graduation Project,0.5
CH5101,Đồ án tốt nghiệp (Hữu cơ hoá dầu),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5102,Đồ án tốt nghiệp (CN vật liệu Polyme-compozit),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5103,Đồ án tốt nghiệp (CN điện hoá & BVKL),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5104,Đồ án tốt nghiệp (CN vật liệu Silicat),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5105,Đồ án tốt nghiệp (CN các hợp chất vô cơ),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5106,Đồ án tốt nghiệp (Hoá lý),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5107,Đồ án tốt nghiệp (Quá trình & Thiết bị CNHH),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5108,Đồ án tốt nghiệp (CN giấy & xenluloza),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5109,Đồ án tốt nghiệp (CN Hoá dược),10(0-0-20-40),10,25,THKHSS,CH5009=,Graduation Project,0.5
CH5110,Đồ án tốt nghiệp (CN Hoá chất bảo vệ thực vật),10(0-0-20-40),10,25,THKHSS,CH5010=,Graduation Project,0.5
CH5111,Đồ án tốt nghiệp (Máy và thiết bị CN hoá chất),10(0-0-20-40),10,25,THKHSS,CH5011=,Graduation Project,0.5
CH5112,Đồ án tốt nghiệp (CN in),10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5113,Đồ án tốt nghiệp,10(0-0-20-40),10,25,THKHSS,,Graduation Project,0.5
CH5200,Nhiên liệu sạch,2(2-1-0-4),2,3,THKHSS,,Clean fuel,0.7
CH5201,Công nghệ tổng hợp hợp chất trung gian,2(2-1-0-4),2,3,THKHSS,,Technology for Synthesis of Petrochemical Intermediates,0.7
CH5202,Nhiên liệu rắn,2(2-1-0-4),2,3,THKHSS,,Solid fuel,0.7
CH5203,Hóa học và sản phẩm dầu,2(2-1-0-4),2,3,THKHSS,"CH4032,CH4034=",Chemistry and Petroleum Products,0.7
CH5204,Công nghệ chế biến dầu và khí,2(2-1-0-4),2,3,THKHSS,"CH4036,CH4038",Oil and Gas processing technology,0.7
CH5205,Thí nghiệm chuyên ngành,3(0-0-6-6),3,9,THKHSS,CH4034=,Advanced Experiments,0.7
CH5206,Đồ án chuyên ngành kỹ sư Hóa dầu,2(0-0-4-4),2,4,THKHSS,"CH4026,CH4036,CH4038",Project specialized in Petrochemical Eingineering,0.7
CH5207,Đường ống bể chứa và thiết bị phụ trợ,3(3-1-0-6),3,4,THKHSS,,"Piping, Tank and Ulitlity",0.7
CH5208,Thiết bị nhà máy lọc hóa dầu,3(3-1-0-6),3,4,THKHSS,,Equipment for Petrochemical Refineries,0.7
CH5209,An toàn nhà máy lọc hóa dầu,2(2-1-0-4),2,3,THKHSS,,Safety in Refinery and Petrochemical plant,0.7
CH5210,Mô phỏng nhà máy lọc hóa dầu,2(2-0-1-4),2,3.5,THKHSS,,Process Simulation of Refinery & Gas Processing,0.7
CH5211,Thí nghiệm chuyên ngành Hóa dầu II,2(0-0-4-4),2,6,THKHSS,,Petrochemical Lab II,0.7
CH5212,Đồ án chuyên ngành Hóa dầu,3(0-0-6-6),3,6,THKHSS,,Petrochemical Process Design Project,0.5
CH5213,Hệ thống thiết bị phụ trợ trong nhà máy lọc hóa dầu và khí,2(2-1-0-4),2,3,THKHSS,,Oil and Gas Utility Systems,0.7
CH5214,Đồ án chuyên ngành Hóa dầu II,2(0-0-4-4),2,4,THKHSS,,Petrochemical Process Design Project II,0.7
CH5250,Hóa lý polyme nâng cao,2(2-0-1-4),2,3.5,THKHSS,,Advance in physical chemistry of polymer,0.7
CH5251,Hóa học polyme nâng cao,2(2-0-1-4),2,3.5,THKHSS,,Advance in chemistry of polymer,0.7
CH5252,Kỹ thuật vật liệu sơn,2(2-0-1-4),2,3.5,THKHSS,,Paint material engineering,0.7
CH5253,Kỹ thuật vật liệu cao su,2(2-0-1-4),2,3.5,THKHSS,,Rubber material engineering,0.7
CH5254,Kỹ thuật vật liệu chất dẻo,2(2-0-0-4),2,2,THKHSS,,Plastic material engineering,0.7
CH5255,Kỹ thuật vật liệu polyme compozit,2(2-0-1-4),2,3.5,THKHSS,,Polymer-composite material engineering,0.7
CH5256,Máy và thiết bị gia công polyme,2(2-0-0-4),2,2,THKHSS,,Equipment and instrument for polymer processing,0.7
CH5257,Đồ án chuyên ngành kỹ sư Polyme,2(0-0-4-4),2,4,THKHSS,,Project specialized in Poymer Engineering,0.7
CH5258,Hoá học polyme phân huỷ sinh học,2(2-0-0-4),2,2,THKHSS,,Biodegradable Polymer Chemistry,0.7
CH5259,Hoá học polyme y sinh,2(2-0-0-4),2,2,THKHSS,,Biomedical Polymer Chemistry,0.7
CH5260,Hoá học polyme silicon,2(2-0-0-4),2,2,THKHSS,,Silicon Chemistry,0.7
CH5261,Công nghệ hoá học polyme blend,2(2-0-0-4),2,2,THKHSS,,Polymer Blend Engineering,0.7
CH5262,Kỹ thuật vật liệu cao su,2(2-1-0-4),2,3,THKHSS,,Rubber Material Engineering,0.7
CH5263,Polyme phân huỷ sinh học,2(2-1-0-4),2,3,THKHSS,,Biodegradable Polymers,0.7
CH5264,Hoá học polyme y sinh,2(2-1-0-4),2,3,THKHSS,,Biomedical Polymer,0.7
CH5265,Hoá học silicon,2(2-1-0-4),2,3,THKHSS,,Silicone Chemistry,0.7
CH5266,Đồ án chuyên ngành Polyme,3(0-0-6-6),3,6,THKHSS,,Polymer Engineering Design Project,0.5
CH5267,Công nghệ hoá học polyme blend,2(2-0-0-4),2,2,THKHSS,,Chemistry of Polymer Blend Technology,0.7
CH5268,Hoá học polyme,2(2-1-0-4),2,3,THKHSS,,Fundamentals of Polymer Chemistry,0.7
CH5269,Hoá lý polyme,2(2-1-0-4),2,3,THKHSS,,Polymer physical chemistry,0.7
CH5270,Đặc trưng vật liệu polyme,2(2-0-0-4),2,2,THKHSS,,Polyme Materials Characterization,0.7
CH5271,Đồ án chuyên ngành Polyme II,2(0-0-4-4),2,4,THKHSS,,Polymer Engineering Design Project II,0.7
CH5272,Kỹ thuật sản xuất chất dẻo,2(2-0-0-4),2,2,THKHSS,,Plastic Manufacture Engineering,0.7
CH5300,Điện hóa bề mặt,2(2-1-0-4),2,3,THKHSS,CH4150=/CH4131=,Surface electrochemistry,0.7
CH5301,Thiết bị điện hóa và phương pháp thiết kế,4(4-1-0-8),4,5,THKHSS,,Electrochemical instruments and designing methods,0.7
CH5302,Điện phân không thoát kim loại,2(2-1-0-4),2,3,THKHSS,,Electrosynthesis of Inorganic Compounds,0.7
CH5303,Tổng hợp điện hóa hữu cơ,2(2-1-0-4),2,3,THKHSS,,Organic electrosynthesis,0.7
CH5304,Thí nghiệm chuyên ngành,3(0-0-6-6),3,9,THKHSS,,Advanced Experiments,0.7
CH5305,Đồ án chuyên ngành kỹ sư điện hóa,2(0-0-4-4),2,4,THKHSS,,Project specialized in Electrochemistry,0.7
CH5306,Gia công xử lí bề mặt kim loại,2(2-1-0-4),2,3,THKHSS,,Metal surface treatment processing,0.7
CH5307,Ăn mòn và bảo vệ vật liệu trong môi trường khí quyển,2(2-1-0-4),2,3,THKHSS,,Atmospheric Corrosion,0.7
CH5308,Vật liệu học điện hóa,2(2-1-0-4),2,3,THKHSS,,Electrochemical materials,0.7
CH5309,Kĩ thuật đo điện hóa,2(2-1-0-4),2,3,THKHSS,,Electrochemical measurement technique,0.7
CH5310,Điện hóa và xử lí môi trường,2(2-1-0-4),2,3,THKHSS,,Electrochemical methods for waste water treatment,0.7
CH5311,Điện hóa học trong hệ điện li không nước,2(2-1-0-4),2,3,THKHSS,,Electrochemistry of non-water electrolysis,0.7
CH5312,Thí nghiệm chuyên ngành điện hóa,2(0-0-4-4),2,6,THKHSS,,Electrochemical Engineering Lab,0.7
CH5313,Thiết kế thiết bị điện hóa,3(3-1-0-6),3,4,THKHSS,,Electrochemical Equipment Design Methods,0.7
CH5317,Đồ án chuyên ngành Điện hóa II,2(0-0-4-4),2,4,THKHSS,,Electrochemical Engineering Design Project II,0.7
CH5318,Ăn mòn và bảo vệ kim loại trong công nghiệp hóa chất và dầu khí,2(2-1-0-4),2,3,THKHSS,,Corrosion and Metal Protection in Chemical and Petrochemical Industries,0.7
CH5351,Thiết bị nhà máy silicat 2,2(2-1-0-4),2,3,THKHSS,,Processing Equipments in Silicate Industry 2,0.7
CH5352,Công nghệ các chất kết dính vô cơ,3(3-1-0-6),3,4,THKHSS,,Cement technology,0.7
CH5353,Công nghệ gốm sứ,3(3-1-0-6),3,4,THKHSS,CH4209,Ceramic technology,0.7
CH5354,Công nghệ thủy tinh,3(3-1-0-6),3,4,THKHSS,,Glass technology,0.7
CH5355,Công nghệ vật liệu chịu lửa,3(3-1-0-6),3,4,THKHSS,,Refractory technology,0.7
CH5356,Thí nghiệm chuyên ngành 1,2(0-0-4-4),2,6,THKHSS,,Advanced Experiments 1,0.7
CH5357,Thí nghiệm chuyên ngành 2,2(0-0-4-4),2,6,THKHSS,,Advanced Experiments 2,0.7
CH5358,Đồ án chuyên ngành,2(0-0-4-4),2,4,THKHSS,CH4196/CH4198/CH4200/CH5355,Ceramic engineering design project,0.7
